City,State,Median Age,Male Population,Female Population,Total Population,Foreign-born,Average Household Size,State Code,air_quality_concentration
Newark,New Jersey,34.6,138040.0,143873.0,281913,86253.0,2.73,NJ,
Peoria,Illinois,33.1,56229.0,62432.0,118661,7517.0,2.4,IL,
O'Fallon,Missouri,36.0,41762.0,43270.0,85032,3269.0,2.77,MO,
Hampton,Virginia,35.5,66214.0,70240.0,136454,6204.0,2.48,VA,
Lakewood,Colorado,37.7,76013.0,76576.0,152589,14169.0,2.29,CO,
Mesa,Arizona,36.9,234998.0,236835.0,471833,57492.0,2.68,AZ,
Bryan,Texas,29.4,41761.0,40345.0,82106,12014.0,2.55,TX,
Garland,Texas,34.5,116406.0,120430.0,236836,62975.0,3.12,TX,
Springfield,Illinois,38.8,55639.0,62170.0,117809,4264.0,2.22,IL,
Flint,Michigan,35.3,48984.0,49313.0,98297,2138.0,2.38,MI,
Tacoma,Washington,37.7,100914.0,107036.0,207950,31863.0,2.48,WA,
Waterbury,Connecticut,36.2,52235.0,56572.0,108807,19967.0,2.71,CT,
Eagan,Minnesota,36.8,31587.0,34701.0,66288,8642.0,2.49,MN,
Fort Smith,Arkansas,34.9,43346.0,44849.0,88195,13177.0,2.44,AR,
Carmichael,California,41.0,29281.0,33934.0,63215,7378.0,2.39,CA,
Daly City,California,39.7,53817.0,52757.0,106574,56640.0,3.26,CA,
Murrieta,California,35.3,49363.0,60453.0,109816,19875.0,3.3,CA,
Brentwood,New York,34.2,31395.0,32397.0,63792,27058.0,4.98,NY,
Quincy,Massachusetts,41.0,44129.0,49500.0,93629,32935.0,2.39,MA,
Boulder,Colorado,29.0,56342.0,51000.0,107342,12993.0,2.24,CO,
Evanston,Illinois,36.8,34146.0,41377.0,75523,15003.0,2.29,IL,
Dothan,Alabama,38.9,32172.0,35364.0,67536,1699.0,2.59,AL,
Antioch,California,34.0,54733.0,55809.0,110542,24942.0,3.31,CA,
Madison,Wisconsin,30.7,122596.0,126360.0,248956,30090.0,2.23,WI,
Victorville,California,30.6,60989.0,61247.0,122236,21959.0,3.47,CA,
Billings,Montana,36.3,52705.0,57565.0,110270,3206.0,2.4,MT,
Sandy Springs,Georgia,35.4,48570.0,56777.0,105347,19837.0,2.4,GA,
Iowa City,Iowa,25.5,37089.0,37138.0,74227,9202.0,2.36,IA,
Largo,Florida,45.1,38166.0,42841.0,81007,10489.0,2.28,FL,
Shreveport,Louisiana,35.2,93138.0,103856.0,196994,5658.0,2.53,LA,
Kalamazoo,Michigan,26.4,37175.0,38865.0,76040,3482.0,2.36,MI,
Round Rock,Texas,34.9,56646.0,59193.0,115839,18237.0,3.13,TX,
Richmond,California,35.3,52615.0,57100.0,109715,42215.0,2.87,CA,
Columbia,Missouri,26.8,56544.0,62554.0,119098,10729.0,2.37,MO,
Sandy,Utah,34.6,46923.0,46689.0,93612,6691.0,3.22,UT,
Hoover,Alabama,38.5,38040.0,46799.0,84839,8229.0,2.58,AL,
Fullerton,California,34.5,69549.0,71300.0,140849,43404.0,2.969999999999999,CA,
Rapid City,South Dakota,39.5,36122.0,37446.0,73568,2375.0,2.31,SD,
Newport Beach,California,46.8,43161.0,43970.0,87131,15318.0,2.4,CA,
Columbus,Georgia,33.7,98785.0,101794.0,200579,10376.0,2.62,GA,
Palm Coast,Florida,48.8,39489.0,42632.0,82121,9084.0,2.76,FL,
Albany,Georgia,33.3,31695.0,39414.0,71109,861.0,2.38,GA,
Jurupa Valley,California,33.8,49430.0,50884.0,100314,25338.0,3.87,CA,
Providence,Rhode Island,29.9,89090.0,90114.0,179204,53532.0,2.719999999999999,RI,
Decatur,Illinois,40.4,34646.0,38210.0,72856,1224.0,2.23,IL,
Scranton,Pennsylvania,38.5,37975.0,39137.0,77112,8069.0,2.39,PA,
Anaheim,California,33.6,179603.0,171135.0,350738,137133.0,3.45,CA,
Rochester,New York,31.4,100135.0,109673.0,209808,17735.0,2.36,NY,
Buffalo,New York,33.1,124537.0,133529.0,258066,24630.0,2.27,NY,
Richmond,Virginia,33.6,104793.0,115496.0,220289,15741.0,2.29,VA,
Santa Ana,California,30.8,167503.0,167920.0,335423,152999.0,4.58,CA,
Sunnyvale,California,35.7,79480.0,72280.0,151760,71441.0,2.74,CA,
Milwaukee,Wisconsin,31.6,286315.0,313839.0,600154,58321.0,2.51,WI,
Conroe,Texas,31.5,34907.0,33685.0,68592,13839.0,2.65,TX,
Savannah,Georgia,30.3,69389.0,76295.0,145684,10355.0,2.5700000000000003,GA,
German,Maryland,34.9,41115.0,43007.0,84122,27877.0,2.95,MD,
Costa Mesa,California,34.8,59097.0,54089.0,113186,26645.0,2.59,CA,
New Haven,Connecticut,29.9,63765.0,66545.0,130310,25871.0,2.48,CT,
Westland,Michigan,39.9,37742.0,44253.0,81995,6429.0,2.41,MI,
Waldorf,Maryland,33.6,35640.0,39872.0,75512,5954.0,2.69,MD,
Cedar Rapids,Iowa,36.2,63109.0,67296.0,130405,5404.0,2.32,IA,
Troy,Michigan,43.3,42371.0,40905.0,83276,21004.0,2.59,MI,
Kirkland,Washington,40.8,42159.0,45108.0,87267,18570.0,2.3,WA,
Santa Barbara,California,37.8,45068.0,46784.0,91852,19441.0,2.51,CA,
Lake Forest,California,40.3,41515.0,40982.0,82497,20784.0,2.76,CA,
Chino,California,36.5,50989.0,34610.0,85599,18666.0,3.62,CA,
Tucson,Arizona,33.6,264893.0,266781.0,531674,82220.0,2.45,AZ,
Boise,Idaho,34.9,110099.0,108181.0,218280,13409.0,2.61,ID,
Joliet,Illinois,33.1,70863.0,79162.0,150025,22409.0,3.13,IL,
Metairie,Louisiana,41.6,69515.0,76943.0,146458,19871.0,2.39,LA,
Moreno Valley,California,30.7,98584.0,105597.0,204181,54442.0,3.9,CA,
Elizabeth,New Jersey,34.2,65896.0,63116.0,129012,63413.0,3.18,NJ,
Wyoming,Michigan,32.8,35967.0,39310.0,75277,8612.0,2.65,MI,
Norman,Oklahoma,30.9,59483.0,60814.0,120297,8705.0,2.47,OK,
Frisco,Texas,37.2,73989.0,80399.0,154388,30913.0,3.05,TX,
